strahler_order,tokunaga_index,length
1,11,0
1,11,0
2,22,0
1,11,0
1,11,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
1,11,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
3,33,0
1,13,0
3,33,0
1,13,0
3,33,0
1,13,0
3,33,0
1,11,0
1,11,0
2,23,0
3,33,0
1,13,0
3,33,0
1,13,0
3,33,0
1,13,0
3,33,0
1,11,0
1,11,0
2,22,0
1,12,0
2,22,0
1,11,0
1,11,0
2,22,0
3,33,0
4,44,0
1,14,0
4,44,0
1,11,0
1,11,0
2,24,0
4,44,0
