strahler_order,tokunaga_index,length
1,11,0
1,11,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
1,11,0
1,11,0
1,11,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
1,12,0
2,22,0
3,33,0
